t Seconds,x position,y position,x pixels,y pixels,tV seconds,x velocity,y velocity
258.333E-3,57.172E-3,34.017E-3,74.438E+0,383.731E+0,283.333E-3,799.754E-3,64.954E-3
308.333E-3,97.160E-3,37.265E-3,100.563E+0,383.193E+0,333.333E-3,1.056E+0,14.343E-3
358.333E-3,149.962E-3,37.982E-3,134.919E+0,384.805E+0,383.333E-3,1.024E+0,1.370E-3
408.333E-3,201.151E-3,38.051E-3,168.201E+0,386.776E+0,433.333E-3,1.100E+0,17.000E-3
458.333E-3,256.147E-3,38.901E-3,203.989E+0,388.388E+0,483.333E-3,1.255E+0,4.336E-3
508.333E-3,318.887E-3,39.117E-3,244.787E+0,390.717E+0,533.333E-3,1.149E+0,30.970E-3
558.333E-3,376.318E-3,40.666E-3,282.185E+0,391.971E+0,583.333E-3,1.271E+0,5.332E-3
608.333E-3,439.881E-3,40.932E-3,323.519E+0,394.299E+0,633.333E-3,1.265E+0,-72.200E-3
658.333E-3,503.128E-3,37.322E-3,364.496E+0,399.136E+0,683.333E-3,1.349E+0,-11.981E-3
708.333E-3,570.597E-3,36.723E-3,408.336E+0,402.181E+0,733.333E-3,1.141E+0,-24.600E-3
758.333E-3,627.645E-3,35.493E-3,445.376E+0,405.226E+0,783.333E-3,1.402E+0,24.283E-3
808.333E-3,697.757E-3,36.707E-3,491.005E+0,407.197E+0,833.333E-3,1.360E+0,-11.317E-3
858.333E-3,765.774E-3,36.142E-3,535.203E+0,410.242E+0,883.333E-3,1.458E+0,5.641E-3
908.333E-3,838.694E-3,36.424E-3,582.621E+0,412.929E+0,933.333E-3,1.531E+0,87.158E-3
958.333E-3,915.221E-3,40.782E-3,632.545E+0,413.108E+0,983.333E-3,1.570E+0,-20.660E-3
1.008E+0,993.726E-3,39.749E-3,683.542E+0,416.870E+0,1.033E+0,1.554E+0,55.543E-3
1.058E+0,1.071E+0,42.526E-3,734.181E+0,418.124E+0,1.083E+0,1.529E+0,-67.241E-3
1.108E+0,1.148E+0,39.164E-3,783.747E+0,423.319E+0,1.133E+0,1.602E+0,-7.687E-3
1.158E+0,1.228E+0,38.779E-3,835.818E+0,426.722E+0
